_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
362,Sabha Khola C HPP,Province 1,SANKHUWASABHA,Makalu,4.2,Sabha Khola,851,2074-03-11,2076-03-10,Arbit Energy Pvt. LTd,"KMC-32, Kathmandu, Phone no 01-4438203, 9851085982 Ishwori Prasad Rimal",87.32513889,27.43333333,Survey
363,Sabha Khola-B HPP,Province 1,TAPLEJUNG,Meringden,15.1,Sabha Khola,187,2073-11-30,2108-11-29,Arbit Energy P Ltd,"Dillibazar Kathmandu, Phone no 4438203, Email: pokhydropower@gmail.com",87.35333333,27.42972222,Generation
364,Sadhu Khola HEP,Province 4,MANANG,Neshyang,8.3,Sadhu Khola,936,2074-07-23,2076-07-22,Northface Power and investment Pvt. Ltd.,"KMC-31, New Baneshwor,",83.98638889,28.43611111,Survey
365,Sagu khola 1 HPP,Province 3,DOLAKHA,Bigu,5.5,Sagu,816,2074-02-02,2076-02-01,Him parbat Hydropower pvt ltd,"Tripureshwor 11 KTM, 4117079, 9851053161",86.10388889,27.83722222,Survey
366,Sagu Khola HEP,Province 3,DOLAKHA,Bigu,20.0,Sangu Khola,805,2073-12-30,2075-01-29,Himparbat Hydropower Pvt. Ltd.,"World Trade Centre, Tripureshwor 5th floor, Kathmandu, 01-4117008,01-4117079,himal Gurung 9851053161, P.O Box 8941",86.10763889,27.80930556,Survey
368,Salankhu Khola,Province 3,RASUWA,Kalika,2.5,Salankhu,107,2070-07-05,2105-07-04,Salankhu Khola Hydropower P. Ltd.,"Samakhusi Town Planning-29, Kathmandu; GPO Box.: 8974; CPC Box : 044; Ph: 4390239, 4390240; email: salakhukhola@gmail.co",85.14583333,27.9875,Generation
370,Sangu Khola HPP,Province 3,DOLAKHA,Bigu,5.0,Sangu Khola,771,2073-08-17,2075-08-16,Kalinchowk Hydropower Pvt. Ltd.,"World Trade Centre, Tripureshor, Ktm. P.O. Box no.8941.tel 4117079,9860912094 (Gautam Gurung), 9851053161 (Himal Gurung)",86.09208333,27.79555556,Survey
371,Sani Bheri 3 HEP,Province 5,RUKUM_E,Sisne,49.59,Sani Bheri,957,2074-08-14,2076-08-13,Ram Giri,"Rivan 8, machhapuchhre, Kaski, 9851180511",82.56472222,28.64583333,Survey
372,Sani Bheri HPP,Province 5,RUKUM_E,Sisne,44.52,Sani Bheri,791,2073-11-26,2075-11-25,Expert Hydro Investment Pvt. Ltd,"Baneshwor, Kathmandu, Phone 9851024788,4218988",82.68236111,28.66291667,Survey
373,Sani Bheri-2 HEP,Province 5,RUKUM_E,Sisne,23.31,Sani Bheri,907,2074-06-01,2076-05-30,Swargadwari Hydro Pvt. Ltd.,"Tokha-14 Kathmandu, Barja Bahadur Gharti 9851238166( Pyuthan Okharkot-5)",82.63222222,28.63638889,Survey
374,Sanigad,Province 7,BAJHANG,Bungal,10.7,Sani Gad,153,2072-12-14,2107-12-13,Sanigad Hydro P Ltd,"Sukedhara, Rara Marg, Kathmandu, Po.Box. No. 13607/21399, Phone no: 01-4101652, 014101653, Email: info.ukhep@gmail.com",80.84375,29.63263889,Generation
375,Sanjen,Province 3,RASUWA,Gosaikunda,42.5,Sanjen,55,2068-08-12,2103-08-11,Sanjen Jalvidyut Co.,"P.O.Box 25210, Gyaneswor,Kathmandu, Phone 01-4443077, Fax 01- 4443076",85.28958333,28.2,Generation
376,Sanjen Khola,Province 3,RASUWA,Parbati Kunda,78.0,Sanjen,160,2073-03-09,2108-03-08,Sala Sungi P Ltd,"Bhagwati Bahal, Naksal, 1 Kathmandu, 01-4440433, 9861181164, info.salasungi@gmail.com",85.27791667,28.26347222,Generation
377,Sano Milti Khola SHP,Province 3,DOLAKHA,Melung,3.0,Milti,173,2073-06-09,2108-06-08,Sano Milti Khola Hydropower P.Ltd.,"Bansbari, Kathmandu, Phone no 012298250, email : smkhl@gmail.com",86.06111111,27.49902778,Generation
378,Sapsup Khola Small Hydro Electric Project,Province 1,KHOTANG,Rupakot Majhuwagadhi,7.151,Sapsup Khola,211,2074-08-29,2109-08-28,Three Star Hydro Power Pvt.Ltd.,"593/55 Kha Thapa Gaun, New Banesor-10, Kathmandu.4468423,9851105341",86.74763889,27.12569444,Generation
379,Saptang Khola HPP,Province 3,NUWAKOT,Kispang,2.5,Saptang,215,2074-09-21,2109-09-20,Saptang Hydropower Pvt Ltd,"Kathmandu-16, Naya Bazar, Tel:9851035832, 9851076449",85.10319444,28.00819444,Generation
380,Sardi Khola,Province 4,KASKI,Madi,4.0,Sardi,94,2070-03-13,2105-03-12,Mandakini Hydropower Pvt. Ltd.,"Baneswor Kathmandu, P.O.Box 7327, Phone 01-4461574",83.99236111,28.34263889,Operation
381,Sepli Khola,Province 1,SOLUKHUMBU,Solududhakunda,5.0,Sepli Khola,819,2074-02-04,2076-02-03,Sepli Hydropower Development Pvt. Ltd.,"Battisputali, Kathmandu, P.O.Box 10512, Phone 01-4470602, 9742082308",86.45402778,27.38513889,Survey
382,Seti,Province 4,KASKI,Madi,1.5,Seti Khola,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,83.97888889,28.24111111,Operation
383,Seti Khola HPP,Province 4,KASKI,Machhapuchchhre,30.0,Seti Khola,803,2074-01-08,2076-01-07,Vision Lumbini Ltd.,"Butwal-8, Rupandehi, 071-549494, 548464,9857025140",83.96458333,28.34055556,Survey
384,Seti Khola HPP,Province 4,PARBAT,Mahashila,3.5,Seti Khola,205,2074-05-26,2109-05-25,Parbat Paiyu Khola Hydropower Company,"Head Office ,Kathmandu Tel: 2093013, Fax: 4385668",83.61875,28.0225,Generation
385,Seti Nadi-3,Province 7,BAJHANG,JayaPrithivi,165.0,Seti Khola,905,2074-06-01,2076-05-30,Chilime Hydropower Company Limited,"Dhumbarahi, Kathmandu, 01-4370720",81.19041667,29.55,Survey
387,Setikhola Hydroelectric Project,Province 4,KASKI,Pokhara Lekhnath,22.0,Seti Khola,775,2073-09-03,2075-09-02,Setikhola Hydropower Pvt.Ltd.,"Kantipath,Kathmandu .PO box 26153",84.08097222,28.11180556,Survey
388,Shyam Khola HEP,Province 1,SANKHUWASABHA,Khandbari,7.25,Shyam Khola,978,2074-10-14,2076-10-13,Shyam Khola Energy Development Pvt. Ltd,"Ka.Ma.Na.Pa-29 Ghattekulo, Kathmandu",87.07791667,27.33333333,Survey
389,Siddhi Khola,Province 1,ILAM,Suryodaya,10.0,Siddhi Khola,143,2072-06-13,2107-06-12,Lumbini Builders P. Ltd,"New Baneshwor, Kathmandu, Nepal. Ph: 071 520460, 4464305, Po Box no 10678",88.14861111,26.83638889,Generation
390,Simbuwa Khola Hydroelectric Project,Province 1,TAPLEJUNG,Phaktanglung,53.7,Simbuwa Khola,738,2073-04-18,2076-04-17,Remit Hydro Ltd,"Babarmahal, Kathmandu-11,4257024,4257025,9851084895 fax4251060",87.82986111,27.51472222,Survey
392,Singati Khola hydropower project,Province 3,DOLAKHA,Kalinchok,25.0,Singati,150,2072-09-30,2107-09-29,Singati Hydro Energy Pvt. Ltd.,"Durbar Marg Kathmandu, Tel: 4228816, Fax : 977-1-4223570",86.14166667,27.76069444,Generation
393,Sinkos Khola HPP,Province 4,MYAGDI,Dhaulagiri,3.45,Sinkos Khola,814,2074-02-01,2076-01-31,Simkos Hydropower P.Ltd.,"KMC-14, Kalanki,Kathmandu, KMC-30,Samakhusi, Kathmandu",83.40194444,28.55208333,Survey
394,Sipa Khola HEP,Province 3,SINDHUPALCHOK,Chautara SangachokGadhi,1.514,Sipa,944,2074-07-29,2076-07-28,Simbuwa Khola A Hydropower Pvt. Ltd.,9851056080,85.66180556,27.76597222,Survey
395,Sipring Khola,Province 3,DOLAKHA,Gaurishankar,10.0,Sipring,27,2066-01-30,2101-01-29,Synergy Power Development P Ltd,"P.O.Box 24600, Kathmandu, Phone 01-4440433",86.24236111,27.81902778,Operation
396,Sisa Khola A Hydropower Project,Province 1,SOLUKHUMBU,Dudhkaushika,2.8,Sisa,180,2073-09-22,2108-09-21,Upper Solu Hydroelectric Company Pvt Ltd,"Hattisar, Kathmandu, Tel: 44269, 4426942, Fax no 4426943, Po. Box no 660, Email ushec@info.com.np",86.56625,27.44166667,Generation
398,Siuri Khola,Province 4,LAMJUNG,Marsyangdi,5.0,Siuri,31,2066-05-30,2101-05-29,Nyadi Group Pvt Ltd,"PO Box 14165, Kathmandu, Ph: 6219566",84.47555556,28.345,Operation
399,Solu Hydropower Project,Province 1,SOLUKHUMBU,Solududhakunda,23.5,Solu Khola,117,2070-12-04,2105-12-03,Upper Solu Hydroelectric Company Pvt Ltd,"Hattisar, Kathmandu, Tel: 4434895, Fax: 4434937",86.57583333,27.4625,Generation
400,Solu Khola (Dudha Koshi),Province 1,SOLUKHUMBU,Dudhkoshi,86.0,Solu Khola,126,2071-06-02,2106-06-01,Sahas Urja Limited,"Kathmandu-1, Hatisar Phone 01-4419182",86.65694444,27.39277778,Generation
401,Sona Khola Hydropower Project,Province 1,TAPLEJUNG,Mikwakhola,5.0,Sona Khola,913,2074-06-25,2076-06-24,Himali Hydro Fund Pvt. Ltd.,"Tokha Nagarpalika 14, Ganeshthan, Gongabu, Kathmandu. Mob no. 9851263322",87.65291667,27.56222222,Survey
402,Sun Koshi,Province 3,SINDHUPALCHOK,Sunkoshi,10.05,Sun Koshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.85555556,27.75833333,Operation
403,Sunigad,Province 7,BAJHANG,Talkot,11.05,Suni Gad,832,2074-02-10,2076-02-09,Omega EnergyDeveloper Pvt. Ltd,"Chandole Kathmandu, omegaenergy73@gmail.com,01-4436184",81.21694444,29.63472222,Survey
404,Sunkoshi Small,Province 3,SINDHUPALCHOK,Tripurasundari,2.6,Sun Koshi,12,2059-06-22,2094-03-31,Sanima Hydripower Pvt.Ltd,0,85.90833333,27.78333333,Operation
405,Super Budhigandaki,Province 4,GORKHA,Chum Nubri,52.0,Budhigandaki,929,2074-07-14,2076-07-13,Natural Hydro Nepal Pvt. Ltd,"Pulchok lalitpur, 01-5009156",84.72361111,28.57083333,Survey
406,Super Chepe,Province 4,GORKHA,Sulikot,9.05,Chepe Khola,834,2074-02-22,2076-02-21,Ridge Line Energy Pvt. Ltd,"Lalitpur 10, 9851198805, 015520465",84.64180556,28.23333333,Survey
407,Super Dordi Kha Hydropower Project,Province 4,LAMJUNG,Dordi,49.6,Dordi,115,2070-11-21,2105-11-20,Peoples Hydropower Company Pvt.Ltd.,"G.P.O. Box 14165 Maharajgunj Kathmandu, Phone 016222304 Fax 014720739",84.54305556,28.29208333,Generation
408,Super Ghalemdi HPP,Province 4,MYAGDI,Annapurna,9.14,Ghalemdi,813,2074-01-29,2076-01-28,Super Ghalemdi Hydropower Pvt. Ltd.,Lalitpur 10,83.725,28.53541667,Survey
409,Super Inkhu Khola,Province 1,SOLUKHUMBU,Khumbupasanglahmu,22.12,Inkhu,948,2074-08-04,2076-08-03,Dordi Khola Jalvidyut Company Limited,"Bluestar Complex Tripureshwor, 01-4232449",86.79555556,27.61194444,Survey
411,Super Kabeli Khola A,Province 1,TAPLEJUNG,Sirijangha,15.0,Kabeli Khola,849,2074-03-08,2076-03-07,Snow River Pvt. Ltd,"Tusalmarga house number 148, Kathmandu-7, 01-6911637, 9860420866 bikram bhandari, 9851220305 pratap gurung",87.94541667,27.4625,Survey
412,Super Kabeli Khola HPP,Province 1,TAPLEJUNG,Sirijangha,20.0,Kabeli Khola,817,2074-02-02,2076-02-01,Hilton Hydro Energy Pvt. Ltd.,"GPO no.20762,Bakuwatar, Kathmandu",87.8975,27.43791667,Survey
413,Super Lower Bagmati HPP,Province 3,KABHREPALANCHOK,Khanikhola,35.9,Bagmati,869,2074-04-04,2076-04-03,Tsetan Gyurman Shrestha,"Boudha, Kathmandu 6, Nepal. mob: 9818785021, 9851047673",85.42319444,27.37083333,Survey
414,Super Machha Khola HEP,Province 4,GORKHA,Dharche,4.6,Machha Khola,964,2074-08-29,2076-08-28,Budhigandaki Hydropower Pvt. Ltd,"Balaju-16,Kathmandu, 9851148537, 01-4380505",84.80125,28.23430556,Survey
415,Super Madi,Province 4,KASKI,Madi,44.0,Madi Khola,192,2073-12-17,2108-12-16,Himal Hydro and General Construction Ltd.,"P.O.Box 12268, Kathmandu, Phone 01-5000032, 5000211",84.11097222,28.33902778,Generation
416,Super Mai Hydropower Project,Province 1,ILAM,Maijogmai,7.8,Mai Khola,188,2073-11-30,2108-11-29,Supermai Hydropower Pvt.Ltd.,"Kathmandu -5, Tangal , Phone no 4470887, email: supermaihydropower@gmail.com",87.95236111,26.95375,Generation
417,Super Mai Khola Cascade HPP,Province 1,ILAM,Sandakpur,3.8,Mai Khola,755,2073-08-09,2075-08-08,Mai Khola Hydropower Pvt.Ltd.,"Kathmandu-10, Thapagaun",87.94847222,26.93444444,Survey
418,Super Mai-A HPP,Province 1,ILAM,Maijogmai,9.6,Mai Khola,224,2074-11-18,2109-11-17,Sagarmatha Jalbidhyut Company P.Ltd.,"168/22 Thapa Gaun, New Banesor-10, Kathmandu.42272949, 9851018025,9751000158",87.96694444,26.98430556,Generation
419,Super Melamchi Hydropower Project,Province 3,SINDHUPALCHOK,Panchpokhari Thangpal,24.7,Melamchi,923,2074-07-05,2076-07-04,Milarepa Energy Pvt Ltd,"Boudh, Kathmandu, Tel; 9851020622, 01-4820834, 01-4821086(Fax), P.O box no. 5722",85.53194444,28.00319444,Survey
420,Super Most Iwa,Province 1,PANCHTHAR,Yangwarak,3.7,Iwa,1010,2075-02-09,2077-02-08,Bishnu Kumar Maden,Kathmandu,88.01180556,27.34097222,Survey
421,Super Nyadi Hydropower Project,Province 4,LAMJUNG,Dordi,40.27,Nyadi,204,2074-05-14,2109-05-13,Siuri Nyadi Power Pvt. Ltd,"GPO Box no 14165, Anamnagar Kathmandu, Tel 4223608, 4238159, email: supernyadi@siurihydro.com",84.47708333,28.37944444,Generation
422,Super Seti HEP,Province 4,KASKI,Madi,24.0,Seti Khola and Batase Khola,977,2074-09-30,2076-09-29,S N Energy Pvt. Ltd,"Kupondole, Lalitpur, 01-6922762",84.00319444,28.45291667,Survey
423,Super Tamor,Province 1,TAPLEJUNG,Phaktanglung,155.0,Tamor,784,2073-11-02,2075-11-01,Cristal Power Development Pvt ltd,"Baluwatar, Kathmandu, Phone no 4430050",87.79166667,27.60930556,Survey
424,Super Trishuli,Province 4,GORKHA,Sahid Lakhan,100.0,Trishuli,218,2074-10-07,2109-10-06,Blue Energy Pvt. Ltd,"GPO Box: 9609, Kathmandu, Nepal. Tel : 4216606, 4221305, email dibya.pant@gmail.com",84.62583333,27.84680556,Generation
425,Supper Sabha Khola Small HPP,Province 1,TAPLEJUNG,Meringden,4.1,Sabha Khola,773,2073-08-23,2075-08-22,Sankhuwasabha Power Development Pvt.Ltd,"339/96 Pepsikola Town Planning ,Kathmandu 9841401080",87.405,27.45444444,Survey
426,Suri Khola,Province 3,DOLAKHA,Gaurishankar,7.0,Suri,134,2072-02-24,2107-02-23,Suri Khola Hydropower Pvt Ltd,"GPO Box: 8941 , Katmandu. Phone no 4117079",86.23333333,27.745,Generation
427,Surke Dudhkoshi HEP,Province 1,SOLUKHUMBU,Solududhakunda,350.0,Dudhkoshi,987,2074-11-25,2076-11-24,Yeti World Investment Pvt. Ltd.,"Yeti Building, Tilganga Ringroad, Kathmandu",86.69819444,27.6125,Survey
429,Suti Khola Hydropower Project,Province 4,MANANG,Nashong,17.0,Suti,932,2074-07-23,2076-07-22,Nilganga Hydropower Company Pvt. Ltd,"Kathmandu-32, Tinkune",84.41583333,28.60986111,Survey
430,Syalque Khola Small HEP,Province 4,MANANG,Nashong,3.41,"Syalque khola, Danque Khola",924,2074-07-01,2076-06-30,Alliance Energy Solutions Pvt Ltd,"Putalisadak, Kathmandu",84.31236111,28.52333333,Survey
431,Syankhu Khola,Province 3,DOLAKHA,Bigu,0.996,Syankhu,0,2074-05-06,2076-05-05,Gaurab Malla,0,86.12666667,27.85222222,Survey
432,Syano Khola HPP,Province 4,MUSTANG,Thasang,4.2,Syano Khola,796,2073-12-15,2075-12-14,Karnali Jalashrot Limited,"Anamnagar-32, Kathmandu",83.50597222,28.54236111,Survey
433,Syar Khola HPP,Province 4,GORKHA,Chum Nubri,59.5,Syar,922,2074-07-01,2076-06-30,Bigland Hydropower P. Ltd.,"Kathmandu-5, Phone no 9851038091(Bikram Bist), 9843686713 ( Rajkumar Mishra)",85.00347222,28.47625,Survey
434,Tadi Ghyamphedi HPP,Province 3,SINDHUPALCHOK,Helambu,4.7,Tadi Khola,899,2074-05-26,2076-05-25,Purna Lal Shrestha and Bala Ram Khatiwada,"Gongabu-13, Ktm",85.45375,27.99763889,Survey
435,Tadi Khola,Province 3,SINDHUPALCHOK,Helambu,5.0,Tadi Khola,51,2068-06-04,2103-06-03,Hiraratna hydropower Pvt. Ltd,"Kalopul,Kathmandu -5, POB : 21650, Ph no. 01-4220127, Fax 4226330",85.39138889,27.94638889,Generation
436,Tadi Khola (thaprek),Province 3,NUWAKOT,Panchakanya,5.0,Tadi Khola,54,2068-08-06,2103-08-05,Aadi Shakti Bidhut Bikash Co. P. Ltd,"P.O. Box: 897, Ph: 01-4219731",85.33652778,27.92444444,Operation
437,Taksar Pikhuwa,Province 1,BHOJPUR,Pauwadungma,8.0,Pikhuwa,159,2073-03-03,2108-03-02,Taksar Pikhuwa Khola Hydropower Pvt. Ltd.,"Gairigaun, Tinkune, Kathmandu, Phone no 9851099478, 4495459, Email: taksarpikhuwahydropower@gmail.com",87.04930556,27.13027778,Generation
438,Tallo Bagmati Small HPP,Province 3,MAKAWANPUR,Indrasarowar,8.5,Bagmati,901,2074-05-23,2076-05-22,Maheswor Prakash Shrestha,"Heritage Plaza, Kamaladi. Mob No. 9851058430. P.O.Box 7970",85.24375,27.49902778,Survey
439,Tamakoshi 3,Province 3,DOLAKHA,Melung,650.0,Tama Koshi,918,2074-06-26,2076-06-25,TBI Holding Co. Ltd.,"TBI Plaza, Gairidhara, kathmandu, Phone no 9801168841",86.1175,27.61458333,Survey
440,Tamakoshi V,Province 3,DOLAKHA,Gaurishankar,87.0,Tama Koshi,193,2074-02-09,2109-02-08,Tamakoshi hydropower Company Ltd.,"Durbar Marg , Kathmandu",86.20833333,27.79027778,Generation
441,Tamakoshi- 9 HEP,Province 3,DOLAKHA,Bigu,24.46,Tamakoshi,1017,2075-02-28,2077-02-27,Asian Hydropower Pvt. Ltd,"Baneshwor, Kathmandu",86.21597222,27.95569444,Survey
442,Taman Khola,Province 4,BAGLUNG,Dhorpatan,4.85,Taman,227,2074-12-25,2109-12-24,Taman Khola Hydro Pvt. Ltd.,"Tokha4358730, email tamankhydro@gmail.comKathmandu",83.17541667,28.34402778,Generation
443,Tamor Khola-5 HEP,Province 1,TAPLEJUNG,Phaktanglung,40.0,Tamor,921,2074-06-29,2076-06-28,River Side Hydro Energy Pvt. Ltd,"Lazimpat, Kathmandu, 9808900203",87.79638889,27.52125,Survey
444,Tamor Mewa,Province 1,TAPLEJUNG,Phungling,128.0,Tamor,675,2070-11-22,2075-03-08,Spark Hydroelectric Co. Ltd.,"Dharmabhakta Marg, Chabhil, P.O. Box. 20832, Kathmandu",87.64375,27.36777778,Survey
445,Tamor Storage,Province 1,PANCHTHAR,Kummayak,200.0,Tamor,666,2070-04-16,2074-04-15,Nepal Electricity Authority,"Ratnapark, kathmandu",87.64083333,27.12972222,Survey
446,Tanahu HEP,Province 4,TANAHU,Ghiring,140.0,Seti Khola,157,2073-02-03,2108-02-02,Tanahu Hydropower Limited,"4th Floor, Trade Tower, Thapathali, Kathmandu. Phone: 5111117, 5111118 Fax: 5111121, Email: info@thl.com.np",84.17916667,27.95833333,Generation
447,Tanchhahara SHP,Province 4,MUSTANG,Thasang,2.4,Tangchhahara,141,2072-04-29,2107-04-28,Tanchhar Hydro Pvt. Ltd.,"Phone no 01 4017783 P.O.Box 683, Bansabari Kathmandu",83.59152778,28.67569444,Generation
449,Tatopani,Province 4,MYAGDI,Annapurna,2.0,Tatopani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,83.66347222,28.52930556,Operation
450,Tatopani khola HPP,Province 3,DHADING,Rubi Valley,24.3,Tatopani(Ilep) Khola,808,2074-01-15,2076-01-14,Hanuman hydropower pvt ltd,"Kathmandu 32 Anam nagar, 4265888, 9851085982",85.08458333,28.25722222,Survey
451,Tawa Khola HPP,Province 1,TAPLEJUNG,Sirijangha,9.96,"Tawa Khola, Yamkha Khola, Siwa",748,2073-07-26,2075-07-25,M.A energy venture pvt.ltd.,"baluwatar-4,kathmandu,P.O NO 26153 mob 9851026244",87.91527778,27.37861111,Survey
453,Thapa Khola,Province 4,MUSTANG,Gharapjhong,11.2,Thapa Khola,61,2069-01-26,2104-01-25,Mount Kailash Energy Co. Pvt. Ltd,"Tupche -3, Nuwakot ,Tel: 9841832093",83.63,28.72527778,Operation
454,Theule Khola HPP,Province 4,PARBAT,Kushma,1.5,Theule,140,2072-03-28,2107-03-27,Barahi Hydropower Pvt Ltd,"Lakeside Pokhra-6, Tel: 061-520872,01-520872",83.62722222,28.17916667,Generation
455,Thoppal Khola,Province 3,DHADING,Siddhalek,1.65,Thoppal,19,2063-03-25,2098-03-24,Thoppal Khola Hydropower Company,0,84.86666667,27.83333333,Operation
458,Thuligad Khola Small HEP,Province 7,DOTI,Badikedar,9.0,Thuli Gad,890,2074-05-14,2076-05-13,Om Power Company Pvt.Ltd.,"Chandragiri Municipality-12, Satungal Kathmandu Paresh Dahal, phone no 4316325",80.82541667,28.95513889,Survey
459,Thulo Khola HPP,Province 4,MYAGDI,Raghuganga,4.99,Thulo Khola,945,2074-07-30,2076-07-29,Thulo Khola Hydropower Ltd,Baneshwor Kathmandu,83.52958333,28.59430556,Survey
460,Thulo Khola Hydropower Project,Province 4,MYAGDI,Raghuganga,21.3,Thulo Khola,705,2072-06-15,2075-06-14,Sungava Foundation Pvt. Ltd.,Lalitpur,83.53333333,28.56194444,Survey
461,Tinau,Province 5,RUPANDEHI,Devdaha,1.024,Tinau,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,83.4625,27.72777778,Operation
462,Tinau Khola HPP,Province 5,PALPA,Tansen,3.44,Tinau,668,2070-06-01,2075-05-31,Nama Buddha Hydropower Pvt Ltd,"PO Box: 5558, Kathmandu, Mobile: 9851034098",83.51833333,27.75694444,Survey
464,Tiplyang Kaligandaki HEP,Province 4,MYAGDI,Raghuganga,58.0,Kali Gandaki,677,2070-12-20,2075-12-19,Tiplyang Kaligandaki Hydropower Pvt. Ltd,"Ka. Ma. Na. Pa-28, Kathmandu",83.62416667,28.45805556,Survey
465,Toj Khola HPP,Province 4,LAMJUNG,Marsyangdi,2.3,Toj Khola,960,2074-08-20,2076-08-20,New Star MP Hydropower Pvt. Ltd.,"Samakhushi Kathmandu, phone no 9841015940",84.45708333,28.33208333,Survey
466,Tom Dogar HEP ( Budhi gandaki),Province 4,GORKHA,Chum Nubri,43.52,Budhi Gandaki,984,2074-11-13,2076-11-12,Tom Dogar Hydro pvt. Ltd,"Lalitpur- 3, Pulchok",84.86277778,28.49902778,Survey
467,Trishuli,Province 3,NUWAKOT,Suryagadhi,24.0,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.16611111,27.94638889,Operation
468,Trishuli Galchhi,Province 3,NUWAKOT,Meghang,75.0,Trishuli,174,2073-07-01,2108-06-29,Siddhakali Power Pvt.Ltd,"P.O.Box 9106, Kathmandu, Phone 01-5111048, 9851156559Fax 01-4447895",85.02291667,27.82777778,Generation
469,Trishuli Khola,Province 3,RASUWA,Gosaikunda,4.409,Trishuli Khola,958,2074-07-30,2076-07-29,Karuna Chetri Ambika Shah,"Kalanki, Kathmandu 9851114574, 9841262907",85.31125,28.11263889,Survey
470,Tungun - Thosne Khola,Province 3,LALITPUR,Konjyosom,4.36,Tugun,84,2069-11-03,2104-11-02,Khani Khola Hydropower Company Ltd,"Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417219",85.31847222,27.49236111,Operation
471,Upper Ankhu Khola,Province 3,DHADING,Gangajamuna,35.0,Ankhu Khola,672,2070-08-14,2075-08-13,Dhading Ankhu Khola Hydro Pvt. Ltd.,"Sumargi B. Complex, Babarmahal-11, Kathmandu",85.02916667,28.14166667,Survey
472,Upper Apsuwa HEP,Province 1,SANKHUWASABHA,Makalu,24.6,Apsuwa,1025,2075-04-16,2077-04-15,Ram Janaki Hydropower Pvt. Ltd,Kathmandu,87.17083333,27.57138889,Survey
473,Upper Balefhi,Province 3,SINDHUPALCHOK,Jugal,46.0,Balephi,950,2065-03-02,2076-07-30,Samjhana Acharya,"Pawan Nagar 8, Dang",85.79013889,28.00305556,Survey
474,Upper Balephi A,Province 3,SINDHUPALCHOK,Jugal,36.0,Balephi,163,2073-04-12,2108-04-11,Balephi Hydropower Ltd.,"Koteshwor 35 Kathamndu; P.O.Box 23189 Kathmandu, Phone 9771 4602073",85.77638889,27.92291667,Generation
475,Upper Barunkhola HEP,Province 1,SANKHUWASABHA,Bhotkhola,55.0,Barun,994,2074-12-25,2076-12-24,Great Hydropower Pvt. Ltd,Kathmanu,87.27708333,27.725,Survey
477,Upper Bhotekoshi,Province 3,SINDHUPALCHOK,Bhotekoshi,45.0,Bhote Koshi,5,2053-08-13,2093-07-30,Bhotekoshi Power Company,0,85.93444444,27.92805556,Operation
478,Upper Bhurundi Khola SHP,Province 4,KASKI,Annapurna,3.75,Bhurundi Khola,733,2073-04-07,2076-04-06,Ambe Hydropower Pvt. Ltd,Kathmandu,83.74444444,28.33402778,Survey
479,Upper Bhurundi Khola- A Small HEP,Province 4,KASKI,Annapurna,4.5,Bhurundi,885,2074-05-02,2076-05-02,Niko Energy Pvt. Ltd.,Jain Lama 9851046754,83.74305556,28.35694444,Survey
480,Upper Brahmayeni HEP,Province 3,SINDHUPALCHOK,Jugal,20.07,Nyamya Masal,928,2074-07-12,2076-07-11,Integrated Hydro Fund Nepal Pvt. Ltd,"Budhhanagar, Kathmandu, 9851168379 ( Bharat Parajuli)",85.7775,28.08555556,Survey
481,Upper Budhigandaki HEP,Province 4,GORKHA,Chum Nubri,203.0,Budhi Gandaki,965,2074-09-02,2076-09-01,Purnima Developers Group Nepal Pvt. Ltd,Kathmandu,84.89305556,28.40347222,Survey
482,Upper Budhiganga B HPP,Province 7,BAJURA,Gaumul,8.4,Budhi ganga,778,2073-09-20,2075-09-19,Reliable Hydropower Company Pvt. Ltd.,"Heritage Plaza II, Kathmandu, PO Box 516, phone 4169116, fax 4169118",81.45388889,29.50944444,Survey
483,Upper Chaku A,Province 3,SINDHUPALCHOK,Bhotekoshi,22.2,Chaku,58,2068-11-12,2103-11-11,Shiva Sri Hydropower Pvt. Ltd,"P.O.Box 13860 Kathmandu, Phone 01-4466330,",85.95083333,27.86694444,Generation
484,Upper Chameliya HP,Province 7,DARCHULA,Apihimal,40.0,Chameliya Khola,713,2072-10-17,2075-10-16,Api Power Co. Ltd,"Thapathali, Kathmandu, ph 5111037,9801147070",80.80027778,29.76069444,Survey
485,Upper Chauri Khola,Province 3,KABHREPALANCHOK,Chaurideurali,6.0,Chauri,194,2074-01-29,2109-01-28,Himalayan Water Resources & Energy Development Co. P. Ltd,"P.O. Box:2919, Tel: 4477000, 4153055, 984382339, email: ghisingbuilders2049@gmail.com",85.84916667,27.58513889,Generation
486,Upper Chhyandi Small HPP,Province 4,LAMJUNG,Dordi,4.0,Chhyangdi,233,2075-02-09,2110-02-08,Chhyandi Hysropower LTD,"Gairidhara-2, Kathmandu, 4426483, PO 19380",84.48819444,28.28208333,Generation
